Estatus,Nro.Fiscal,IdCliente,Val.aplicado,FechaFac.,FechaPago
Pagado,FCO3447514,169200,225248,24/11/2021,24/11/2021
Pagado,FCO3448236,10539,62682,10/11/2021,10/11/2021
Pagado,FCO3448237,7955,361582,08/11/2021,08/11/2021
Pagado,FCO3448239,12391,102850,22/04/2022,22/04/2022
Pagado,FCO3448240,12920,641450,21/01/2022,21/01/2022
Pagado,FCO3448241,12951,269623,23/11/2021,23/11/2021
Pagado,FCO3448243,19349,51320,08/11/2021,08/11/2021
Pagado,FCO3448244,19633,280946,23/11/2021,23/11/2021
Pagado,FCO3448246,30656,65467,03/11/2021,03/11/2021
Pagado,FCO3448249,34245,344046,30/11/2021,30/11/2021
Pagado,FCO3448251,35283,169791,12/11/2021,12/11/2021
Pagado,FCO3448252,35850,1,17/03/2022,17/03/2022
Pagado,FCO3448256,38385,135522,19/11/2021,19/11/2021
Pagado,FCO3448257,38412,78130,12/01/2022,12/01/2022
Pagado,FCO3448258,39449,37514,10/12/2021,10/12/2021
Pagado,FCO3448259,39517,43210,12/11/2021,12/11/2021
Pagado,FCO3448260,40517,0,13/12/2021,13/12/2021
Pagado,FCO3448261,40780,94827,02/11/2021,02/11/2021
Pagado,FCO3448262,40826,67906,23/11/2021,23/11/2021
Pagado,FCO3448263,41357,92185,29/10/2021,29/10/2021
Pagado,FCO3448264,41417,35373,16/11/2021,16/11/2021
Pagado,FCO3448265,41533,77444,04/11/2021,04/11/2021
Pagado,FCO3448267,41892,22900,01/12/2021,01/12/2021
Pagado,FCO3448268,41970,83300,01/11/2021,01/11/2021
Pagado,FCO3448269,41974,61210,08/02/2022,08/02/2022
Pagado,FCO3448270,42070,48209,29/11/2021,29/11/2021
Pagado,FCO3448271,42992,179723,29/10/2021,29/10/2021
Pagado,FCO3448272,43396,40264,31/01/2022,31/01/2022
Pagado,FCO3448273,43872,86472,23/11/2021,23/11/2021
Pagado,FCO3448274,44109,186061,08/11/2021,08/11/2021
Pagado,FCO3448275,44196,36694,17/12/2021,17/12/2021
Pagado,FCO3448276,44301,66650,09/11/2021,09/11/2021
Pagado,FCO3448277,44884,150008,01/12/2021,01/12/2021
Pagado,FCO3448280,45204,59201,03/11/2021,03/11/2021
Pagado,FCO3448283,45445,35700,25/01/2022,25/01/2022
Pagado,FCO3448285,46065,26591,28/12/2021,28/12/2021
Pagado,FCO3448287,46340,43210,17/11/2021,17/11/2021
Pagado,FCO3448288,46678,416666,30/11/2021,30/11/2021
Pagado,FCO3448289,46857,43210,17/11/2021,17/11/2021
Pagado,FCO3448290,47145,92185,05/03/2022,05/03/2022
Pagado,FCO3448292,47458,75603,11/11/2021,11/11/2021
Pagado,FCO3448294,47807,149175,19/11/2021,19/11/2021
Pagado,FCO3448295,48205,158576,12/11/2021,12/11/2021
Pagado,FCO3448296,48559,68837,16/11/2021,16/11/2021
Pagado,FCO3448298,48979,35750,07/12/2021,07/12/2021
Pagado,FCO3448299,49432,217288,22/11/2021,22/11/2021
Pagado,FCO3448301,49713,74563,30/11/2021,30/11/2021
Pagado,FCO3448302,49805,82551,21/01/2022,21/01/2022
Pagado,FCO3448306,50755,111096,24/11/2021,24/11/2021
Pagado,FCO3448307,51296,158575,16/11/2021,16/11/2021
Pagado,FCO3448308,51299,61285,08/11/2021,08/11/2021
Pagado,FCO3448310,51579,59201,12/11/2021,12/11/2021
Pagado,FCO3448312,51950,116100,16/11/2021,16/11/2021
Pagado,FCO3448313,51965,40243,29/10/2021,29/10/2021
Pagado,FCO3448314,52046,-35091,04/11/2021,04/11/2021
Pagado,FCO3448315,52056,41696,08/11/2021,08/11/2021
Pagado,FCO3448316,52082,300000,19/11/2021,19/11/2021
Pagado,FCO3448317,52174,81781,17/11/2021,17/11/2021
Pagado,FCO3448318,52197,66650,23/11/2021,23/11/2021
Pagado,FCO3448319,52352,91431,02/12/2021,02/12/2021
Pagado,FCO3448320,52583,63538,19/11/2021,19/11/2021
Pagado,FCO3448321,52601,63430,21/12/2021,21/12/2021
Pagado,FCO3448322,52906,99596,24/11/2021,24/11/2021
Pagado,FCO3448323,53096,66826,11/11/2021,11/11/2021
Pagado,FCO3448324,53295,46104,24/12/2021,24/12/2021
Pagado,FCO3448326,54367,858347,26/11/2021,26/11/2021
Pagado,FCO3448327,54484,41650,19/11/2021,19/11/2021
Pagado,FCO3448328,54622,110518,24/11/2021,24/11/2021
Pagado,FCO3448329,54625,338097,11/11/2021,11/11/2021
Pagado,FCO3448330,54688,116509,31/01/2022,31/01/2022
Pagado,FCO3448331,54945,74650,28/03/2022,28/03/2022
Pagado,FCO3448332,55851,179013,24/11/2021,24/11/2021
Pagado,FCO3448333,56176,66650,10/11/2021,10/11/2021
Pagado,FCO3448334,56328,109500,04/11/2021,04/11/2021
Pagado,FCO3448335,56359,41650,29/10/2021,29/10/2021
Pagado,FCO3448336,56440,107453,08/11/2021,08/11/2021
Pagado,FCO3448337,57315,21420,04/05/2022,04/05/2022
Pagado,FCO3448338,57385,43435,16/12/2021,16/12/2021
Pagado,FCO3448340,60051,184649,04/11/2021,04/11/2021
Pagado,FCO3448341,60740,515666,03/11/2021,03/11/2021
Pagado,FCO3448342,60785,44738,16/11/2021,16/11/2021
Pagado,FCO3448343,60924,146962,19/11/2021,19/11/2021
Pagado,FCO3448344,60998,164448,18/11/2021,18/11/2021
Pagado,FCO3448345,61284,63264,26/11/2021,26/11/2021
Pagado,FCO3448346,61385,80435,08/11/2021,08/11/2021
Pagado,FCO3448347,61405,134364,01/11/2021,01/11/2021
Pagado,FCO3448349,62204,68650,29/10/2021,29/10/2021
Pagado,FCO3448351,62562,61285,29/10/2021,29/10/2021
Pagado,FCO3448353,63145,233158,07/12/2021,07/12/2021
Pagado,FCO3448355,65276,409440,08/11/2021,08/11/2021
Pagado,FCO3448356,65484,46864,11/02/2022,11/02/2022
Pagado,FCO3448357,65678,41650,28/02/2022,28/02/2022
Pagado,FCO3448358,66475,120784,11/11/2021,11/11/2021
Pagado,FCO3448362,70139,73493,23/11/2021,23/11/2021
Pagado,FCO3448363,70210,90356,24/11/2021,24/11/2021
Pagado,FCO3448364,70518,85535,18/01/2022,18/01/2022
Pagado,FCO3448366,72059,60328,08/11/2021,08/11/2021
Pagado,FCO3448367,72150,157835,03/12/2021,03/12/2021
Pagado,FCO3448368,72675,44738,03/11/2021,03/11/2021
Pagado,FCO3448369,72996,138096,10/11/2021,10/11/2021
Pagado,FCO3448370,73189,109427,29/10/2021,29/10/2021
Pagado,FCO3448371,73198,73942,24/11/2021,24/11/2021
Pagado,FCO3448372,73790,44738,02/11/2021,02/11/2021
Pagado,FCO3448373,73791,23800,08/11/2021,08/11/2021
Pagado,FCO3448374,74634,9561,12/01/2022,12/01/2022
Pagado,FCO3448375,75248,90294,16/11/2021,16/11/2021
Pagado,FCO3448376,75275,41650,22/11/2021,22/11/2021
Pagado,FCO3448377,75586,41650,25/11/2021,25/11/2021
Pagado,FCO3448378,75796,40644,17/11/2021,17/11/2021
Pagado,FCO3448379,75876,126951,12/01/2022,12/01/2022
Pagado,FCO3448380,75905,41650,02/12/2021,02/12/2021
Pagado,FCO3448381,75967,89476,02/12/2021,02/12/2021
Pagado,FCO3448384,76786,24909,24/02/2022,24/02/2022
Pagado,FCO3448385,78453,66650,30/10/2021,30/10/2021
Pagado,FCO3448387,78832,118300,19/11/2021,19/11/2021
Pagado,FCO3448388,78874,298631,23/11/2021,23/11/2021
Pagado,FCO3448389,78903,46830,15/12/2021,15/12/2021
Pagado,FCO3448390,78949,89476,08/02/2022,08/02/2022
Pagado,FCO3448392,79455,41650,29/11/2021,29/11/2021
