Estatus,Nro.Fiscal,IdCliente,Val.aplicado,FechaFac.,FechaPago
Pagado,FGT1898594311,8085962,318,26/09/2022,26/09/2022
Pagado,FGT1978354933,729258,65,30/11/2021,30/11/2021
Pagado,FGT5306878710,722433,817,19/09/2022,26/09/2022
Pagado,FGT14000010450,744737,1660,20/07/2022,22/07/2022
Pagado,FGT15000020437,768069,2176,14/11/2022,26/09/2022
Pagado,FGT15000023473,66952751,980,11/04/2022,23/05/2022
Pagado,FGT16000030114,67086961,172,24/08/2022,30/08/2022
Pagado,FGT16000031241,4654486,1770,15/07/2022,21/07/2022
Pagado,FGT16000033139,1133765,5621,15/07/2022,21/07/2022
Pagado,FGT16000035392,4548155,837,11/04/2022,19/04/2022
Pagado,FGT16000036052,66969853,9585,18/06/2022,21/06/2022
Pagado,FGT16000036242,1118200,64733,31/10/2016,26/10/2021
Pagado,FGT16000036983,739424,6127,15/12/2021,17/02/2022
Pagado,FGT16000036998,67077342,2500,15/07/2022,21/07/2022
Pagado,FGT140000084292,66969853,2511,31/01/2020,21/06/2022
Pagado,FGT140000084476,66969853,2511,28/02/2020,21/06/2022
Pagado,FGT140000086638,8059671,388,04/03/2021,16/08/2022
Pagado,FGT140000087752,7970507,2511,08/10/2021,13/10/2021
Pagado,FGT140000088251,743007,1312,30/12/2021,26/01/2022
Pagado,FGT140000088253,67083417,1323,30/12/2021,28/01/2022
Pagado,FGT140000088254,6317846,1000,30/12/2021,27/07/2022
Pagado,FGT140000088255,746565,904,30/12/2021,31/01/2022
Pagado,FGT140000089060,721947,572,07/04/2022,27/04/2022
Pagado,FGT140000089061,8068283,649,07/04/2022,27/07/2022
Pagado,FGT140000089062,719589,536,07/04/2022,10/05/2022
Pagado,FGT140000089438,732095,2468,08/06/2022,27/07/2022
Pagado,FGT140000089442,744232,399,08/06/2022,25/10/2022
Pagado,FGT170000037944,67460292,1225,24/08/2022,30/08/2022
Pagado,FGT170000038301,4652611,92,24/08/2022,22/07/2022
Pagado,FGT170000038706,67077739,776,20/05/2022,25/07/2022
Pagado,FGT170000039596,719957,6856,18/06/2022,20/06/2022
Pagado,FGT170000039599,719957,6512,24/08/2022,29/08/2022
Pagado,FGT170000039964,4928630,602,26/10/2021,26/10/2021
Pagado,FGT170000040948,6347705,2129,27/05/2022,06/05/2022
Pagado,FGT180000043956,67085709,204,18/06/2022,03/03/2022
Pagado,FGT180000045689,718283,6660,19/11/2021,19/04/2022
Pagado,FGT180000045989,7967945,77,19/10/2021,19/10/2021
Pagado,FGT180000045689,718283,2248,08/10/2018,10/09/2021
Pagado,FGT1550666877,727659,62,07/10/2019,17/10/2022
Pagado,FGT1550666877,727659,147,07/10/2019,17/10/2022
Pagado,FGT1550666877,727659,147,07/10/2019,17/10/2022
Pagado,FGT1550666877,727659,147,07/10/2019,17/10/2022
Pagado,FGT1550666877,727659,147,07/10/2019,17/10/2022
