Estatus,Nro.Fiscal,IdCliente,Val.aplicado,FechaFac.,FechaPago
Pagado,FPA140000087933,6308795,347,10/11/2021,15/07/2022
Pagado,FPA140000088325,4440366,344,12/01/2022,28/02/2022
Pagado,FPA140000089144,8080212,20,20/04/2022,20/04/2022
Pagado,FPA140000090612,8085656,89,05/09/2022,05/09/2022
Pagado,FPA9000000799,694763,3,01/07/2017,31/05/2017
Pagado,FPA9000007462,6507930,40,12/03/2018,20/05/2022
Pagado,FPA9000008464,670296,135,01/05/2018,30/11/2021
Pagado,FPA9000011687,669306,75580,02/08/2018,30/08/2022
Pagado,FPA9000011826,669306,96325,31/08/2018,30/08/2022
Pagado,FPA9000011831,666692,645,03/09/2018,20/09/2022
Pagado,FPA9000013432,7969818,35,18/03/2019,14/10/2021
Pagado,FPA9000013441,67010848,845,25/03/2019,14/10/2021
Pagado,FPA9000013689,4536539,93,13/05/2019,17/05/2022
Pagado,FPA9000013766,689510,258,01/05/2019,30/09/2021
Pagado,FPA9000013886,668767,114,01/05/2019,30/05/2022
Pagado,FPA9000013922,669354,45,01/05/2019,31/08/2021
Pagado,FPA9000014276,687703,114,01/05/2019,30/10/2021
Pagado,FPA9000014290,687895,179,01/05/2019,30/09/2021
Pagado,FPA9000014452,690405,112,01/05/2019,31/08/2021
Pagado,FPA9000014542,692044,5,01/05/2019,31/05/2022
Pagado,FPA9000014595,693100,151,01/05/2019,31/07/2022
Pagado,FPA9000014641,693940,265,01/05/2019,30/09/2021
Pagado,FPA9000014745,696254,26,01/05/2019,31/08/2021
Pagado,FPA9000014757,696542,44,01/05/2019,31/08/2021
Pagado,FPA9000014769,696743,380,01/05/2019,28/04/2022
Pagado,FPA9000014795,697305,21,01/05/2019,31/08/2021
Pagado,FPA9000014832,1035271,61,27/08/2019,31/08/2021
Pagado,FPA9000014833,1045748,9,01/05/2019,31/05/2022
Pagado,FPA9000014881,4415043,78,01/05/2019,30/09/2021
Pagado,FPA9000014894,4861331,85,01/05/2019,31/12/2021
Pagado,FPA9000014925,6414923,9,01/05/2019,31/05/2022
Pagado,FPA9000014948,6416545,42,01/05/2019,30/11/2021
Pagado,FPA9000014989,6552894,3099,01/05/2019,31/05/2022
Pagado,FPA9000015039,66976300,235,01/05/2019,31/01/2022
Pagado,FPA9000015112,67025603,5,01/05/2019,31/05/2022
Pagado,FPA9000015126,67073710,463,01/05/2019,30/06/2022
Pagado,FPA9000015218,669373,10,01/05/2019,31/08/2021
Pagado,FPA9000015286,683129,300,01/05/2019,30/10/2021
Pagado,FPA9000015354,689545,750,01/05/2019,30/04/2022
Pagado,FPA9000015362,689806,130,01/05/2019,25/03/2022
Pagado,FPA9000015383,690234,37,01/05/2019,30/10/2021
Pagado,FPA9000015460,694788,104,01/05/2019,31/01/2022
Pagado,FPA9000015478,696691,260,01/05/2019,31/01/2022
Pagado,FPA9000015558,4925012,172,01/05/2019,30/10/2021
Pagado,FPA9000015628,66950187,195,01/05/2019,31/01/2022
Pagado,FPA9000015630,66955753,35,01/05/2019,31/01/2022
Pagado,FPA9000015644,66969573,199,01/05/2019,31/01/2022
Pagado,FPA9000015695,67021882,65,01/05/2019,25/03/2022
Pagado,FPA9000015731,67503824,559,01/05/2019,18/10/2021
Pagado,FPA9000015732,67503824,4,01/05/2019,18/10/2021
Pagado,FPA9000015808,688502,411,01/05/2019,30/04/2022
Pagado,FPA9000016016,6551173,3598,01/07/2019,20/10/2022
Pagado,FPA9000016027,4925617,21,08/07/2019,01/12/2021
Pagado,FPA9000016035,4536539,593,08/07/2019,20/06/2022
Pagado,FPA9000016061,694950,1868,08/07/2019,17/06/2022
Pagado,FPA9000016067,669737,43,22/07/2019,30/05/2022
Pagado,FPA9000016088,689509,1452,24/07/2019,30/09/2021
Pagado,FPA9000016093,67503824,79,29/07/2019,18/10/2021
Pagado,FPA9000016144,682497,52,01/07/2019,30/10/2021
Pagado,FPA9000016187,684272,6,01/07/2019,31/08/2021
Pagado,FPA9000016189,685817,10,01/07/2019,31/08/2021
Pagado,FPA9000016191,690246,1132,01/07/2019,31/01/2022
Pagado,FPA9000016328,667305,122,01/07/2019,31/01/2022
Pagado,FPA9000016405,680554,7,01/07/2019,31/08/2021
Pagado,FPA9000016488,684733,33,01/07/2019,30/09/2021
Pagado,FPA9000016561,687703,131,01/07/2019,30/10/2021
Pagado,FPA9000016563,687703,109,01/07/2019,30/10/2021
Pagado,FPA9000016564,687703,92,01/07/2019,30/10/2021
Pagado,FPA9000016637,1113025,33,01/07/2019,31/01/2022
Pagado,FPA9000016678,4862963,133,01/07/2019,30/09/2021
Pagado,FPA9000016679,4862963,17,01/07/2019,30/10/2021
Pagado,FPA9000016680,4863883,68,01/07/2019,30/11/2021
Pagado,FPA9000016782,67020614,1510,01/07/2019,30/09/2021
Pagado,FPA9000016783,67021536,917,29/07/2019,31/08/2021
Pagado,FPA9000016805,67029653,22,01/07/2019,31/08/2021
Pagado,FPA9000016810,67040260,677,01/07/2019,31/01/2022
Pagado,FPA9000016877,7972825,8,05/08/2019,25/11/2021
Pagado,FPA9000017060,4923469,15,27/08/2019,31/01/2022
Pagado,FPA9000017061,7569873,122,27/08/2019,31/03/2022
Pagado,FPA9000017068,7969213,79,27/08/2019,31/01/2022
Pagado,FPA9000017070,4863203,220,27/08/2019,31/08/2021
Pagado,FPA9000017142,7973242,55,26/08/2019,20/04/2022
Pagado,FPA9000017205,670259,35,02/09/2019,03/06/2022
Pagado,FPA9000017221,4928582,39,02/09/2019,23/08/2021
Pagado,FPA9000017235,7973532,35,02/09/2019,17/12/2021
Pagado,FPA9000017269,687396,20,16/09/2019,31/05/2022
Pagado,FPA9000017277,7973748,342,16/09/2019,27/03/2022
Pagado,FPA9000017283,7973786,228,16/09/2019,01/06/2022
Pagado,FPA9000017318,7974086,6,30/09/2019,09/02/2022
Pagado,FPA9000017340,668477,106,07/10/2019,14/02/2022
Pagado,FPA9000017391,667193,205,08/10/2019,27/05/2022
Pagado,FPA9000017415,688231,42,08/10/2019,27/05/2022
