Estatus,Nro.Fiscal,IdCliente,Val.aplicado,FechaFac.,FechaPago
Pagado,B005-0017420,8073020,59,26/10/2021,26/10/2021
Pagado,F001-1085090,308133,117,29/10/2021,29/10/2021
Pagado,F001-1085431,7973089,55,26/10/2021,26/10/2021
Pagado,F001-1085970,817572,47,02/11/2021,02/11/2021
Pagado,F001-1083391,817650,1593,02/11/2021,02/11/2021
Pagado,F001-1083351,475934,1380,02/11/2021,02/11/2021
Pagado,F001-1083090,46036,254,02/11/2021,02/11/2021
Pagado,F001-1085108,71679,103,02/11/2021,02/11/2021
Pagado,F001-1085269,2940284,73,02/11/2021,02/11/2021
Pagado,F001-1084591,2938682,181,02/11/2021,02/11/2021
Pagado,F001-1083068,42027,242,02/11/2021,02/11/2021
Pagado,F001-1085106,37524,133,02/11/2021,02/11/2021
Pagado,F001-1085494,8062637,59,02/11/2021,02/11/2021
Pagado,F001-1085264,2938290,145,02/11/2021,02/11/2021
Pagado,F001-1085166,1684345,127,02/11/2021,02/11/2021
Pagado,F001-1085215,2295253,145,02/11/2021,02/11/2021
Pagado,F001-1086138,7405809,71,03/11/2021,03/11/2021
Pagado,F001-1086135,7299965,135,03/11/2021,03/11/2021
Pagado,F001-1085127,696556,71,03/11/2021,03/11/2021
Pagado,F001-1086144,7553309,59,03/11/2021,03/11/2021
Pagado,F001-1085133,881260,94,03/11/2021,03/11/2021
Pagado,F001-1085167,1690330,106,03/11/2021,03/11/2021
Pagado,F001-1085246,2922125,363,03/11/2021,03/11/2021
Pagado,F001-1085122,503342,163,03/11/2021,03/11/2021
Pagado,F001-1085214,2292901,91,03/11/2021,03/11/2021
Pagado,F001-1085411,7970143,157,03/11/2021,03/11/2021
Pagado,F001-1085911,58560,60,03/11/2021,03/11/2021
Pagado,F001-1085317,7010431,85,03/11/2021,03/11/2021
Pagado,F001-1085425,7971985,97,03/11/2021,03/11/2021
Pagado,B005-0017320,7972268,157,03/11/2021,03/11/2021
Pagado,F001-1085204,2231850,114,03/11/2021,03/11/2021
Pagado,F001-1085165,1671448,314,03/11/2021,03/11/2021
Pagado,F001-1085429,7973029,181,03/11/2021,03/11/2021
Pagado,F001-1085218,2391903,103,03/11/2021,03/11/2021
Pagado,F001-1085217,2391369,85,03/11/2021,03/11/2021
Pagado,F001-1085199,2202783,163,03/11/2021,03/11/2021
Pagado,F001-1085256,2937331,224,03/11/2021,03/11/2021
Pagado,F001-1085441,7974394,121,03/11/2021,03/11/2021
Pagado,F001-1085446,7974642,194,03/11/2021,03/11/2021
Pagado,F001-1085103,13686,97,03/11/2021,03/11/2021
Pagado,F001-1085195,2152911,103,03/11/2021,03/11/2021
Pagado,F001-1085241,2917795,363,03/11/2021,03/11/2021
Pagado,F001-1085404,7969283,181,03/11/2021,03/11/2021
Pagado,F001-1085439,7974106,133,03/11/2021,03/11/2021
Pagado,F001-1085168,1696078,42,03/11/2021,03/11/2021
Pagado,F001-1085262,2938194,212,03/11/2021,03/11/2021
Pagado,F001-1085238,2915941,133,03/11/2021,03/11/2021
Pagado,F001-1085170,1708506,175,03/11/2021,03/11/2021
Pagado,F001-1085297,6896160,121,03/11/2021,03/11/2021
Pagado,F001-1085329,7061920,145,03/11/2021,03/11/2021
Pagado,F001-1085484,8059564,42,03/11/2021,03/11/2021
Pagado,F001-1085458,7975165,85,03/11/2021,03/11/2021
Pagado,F001-1085485,8060627,181,03/11/2021,03/11/2021
Pagado,F001-1085343,7160222,30,03/11/2021,03/11/2021
Pagado,F001-1085486,8060758,97,03/11/2021,03/11/2021
Pagado,F001-1085443,7974439,21,03/11/2021,03/11/2021
Pagado,F001-1085377,7461840,118,03/11/2021,03/11/2021
Pagado,F001-1085493,8062636,177,03/11/2021,03/11/2021
Pagado,F001-1085111,109879,59,03/11/2021,03/11/2021
Pagado,F001-1085528,8068468,71,03/11/2021,03/11/2021
Pagado,F001-1085531,8068547,83,03/11/2021,03/11/2021
Pagado,F001-1085533,8068621,94,03/11/2021,03/11/2021
Pagado,B005-0017366,8068644,59,03/11/2021,03/11/2021
Pagado,F001-1085349,7217037,47,03/11/2021,03/11/2021
Pagado,F001-1085299,6898719,59,03/11/2021,03/11/2021
Pagado,F001-1085456,7975059,94,03/11/2021,03/11/2021
Pagado,F001-1085113,193506,94,03/11/2021,03/11/2021
Pagado,F001-1085536,8068691,59,03/11/2021,03/11/2021
Pagado,F001-1085285,6863907,59,03/11/2021,03/11/2021
Pagado,F001-1085548,8069066,94,03/11/2021,03/11/2021
Pagado,F001-1085252,2932304,94,03/11/2021,03/11/2021
Pagado,F001-1085562,8069316,94,03/11/2021,03/11/2021
Pagado,F001-1085565,8069341,59,03/11/2021,03/11/2021
Pagado,F001-1085567,8069391,59,03/11/2021,03/11/2021
Pagado,F001-1085568,8069394,35,03/11/2021,03/11/2021
Pagado,F001-1085550,8069095,59,03/11/2021,03/11/2021
Pagado,F001-1085283,2944029,118,03/11/2021,03/11/2021
Pagado,F001-1085161,1600643,89,03/11/2021,03/11/2021
Pagado,F001-1085282,2943987,94,03/11/2021,03/11/2021
Pagado,F001-1085289,6879414,59,03/11/2021,03/11/2021
Pagado,F001-1085599,8069926,59,03/11/2021,03/11/2021
Pagado,F001-1085600,8069955,35,03/11/2021,03/11/2021
Pagado,F001-1085344,7163609,94,03/11/2021,03/11/2021
Pagado,B005-0017387,8070023,59,03/11/2021,03/11/2021
Pagado,F001-1086148,8070098,87,03/11/2021,03/11/2021
Pagado,F001-1085147,1217353,59,03/11/2021,03/11/2021
Pagado,F001-1085622,8072032,59,03/11/2021,03/11/2021
Pagado,B005-0017409,8072519,59,03/11/2021,03/11/2021
Pagado,F001-1085365,7409120,59,03/11/2021,03/11/2021
Pagado,F001-1086150,8072535,47,03/11/2021,03/11/2021
Pagado,B005-0017412,8072586,59,03/11/2021,03/11/2021
Pagado,F001-1085643,8072631,94,03/11/2021,03/11/2021
Pagado,B005-0017414,8072648,94,03/11/2021,03/11/2021
Pagado,F001-1085656,8072759,94,03/11/2021,03/11/2021
Pagado,F001-1085658,8072790,59,03/11/2021,03/11/2021
Pagado,F001-1085301,6910684,59,03/11/2021,03/11/2021
Pagado,F001-1085687,8073943,59,03/11/2021,03/11/2021
Pagado,F001-1085689,8073968,94,03/11/2021,03/11/2021
Pagado,F001-1085305,6917936,59,03/11/2021,03/11/2021
Pagado,F001-1085699,8074220,94,03/11/2021,03/11/2021
Pagado,F001-1085701,8074245,59,03/11/2021,03/11/2021
Pagado,F001-1085222,2462279,41,03/11/2021,03/11/2021
Pagado,F001-1085705,8074340,59,03/11/2021,03/11/2021
Pagado,F001-1085158,1365528,71,03/11/2021,03/11/2021
Pagado,F001-1085733,8074933,94,03/11/2021,03/11/2021
Pagado,F001-1085477,8058615,118,03/11/2021,03/11/2021
Pagado,F001-1085267,2939131,94,03/11/2021,03/11/2021
Pagado,B005-0017458,8075071,94,03/11/2021,03/11/2021
Pagado,F001-1085736,8075087,94,03/11/2021,03/11/2021
Pagado,F001-1085303,6914634,65,03/11/2021,03/11/2021
Pagado,F001-1085276,2942951,59,03/11/2021,03/11/2021
Pagado,F001-1085319,7018252,94,03/11/2021,03/11/2021
Pagado,F001-1085472,7984836,118,03/11/2021,03/11/2021
Pagado,F001-1085745,8075136,94,03/11/2021,03/11/2021
Pagado,F001-1085155,1292499,59,03/11/2021,03/11/2021
Pagado,F001-1085309,6944621,59,03/11/2021,03/11/2021
Pagado,F001-1085777,8075666,35,03/11/2021,03/11/2021
Pagado,F001-1085781,8075696,35,03/11/2021,03/11/2021
Pagado,B005-0017497,8075700,94,03/11/2021,03/11/2021
Pagado,F001-1085785,8075706,35,03/11/2021,03/11/2021
Pagado,B005-0017501,8075729,35,03/11/2021,03/11/2021
Pagado,F001-1085384,7494928,59,03/11/2021,03/11/2021
Pagado,B005-0017503,8075736,177,03/11/2021,03/11/2021
Pagado,F001-1085792,8076146,59,03/11/2021,03/11/2021
Pagado,F001-1085794,8076152,24,03/11/2021,03/11/2021
Pagado,F001-1085795,8076172,24,03/11/2021,03/11/2021
Pagado,F001-1085799,8076187,124,03/11/2021,03/11/2021
Pagado,B005-0017509,8076158,35,03/11/2021,03/11/2021
Pagado,F001-1085248,2922137,35,03/11/2021,03/11/2021
Pagado,F001-1085808,8076352,65,03/11/2021,03/11/2021
Pagado,B005-0017517,8076391,35,03/11/2021,03/11/2021
Pagado,F001-1085232,2900393,65,03/11/2021,03/11/2021
Pagado,F001-1085584,8069686,22,03/11/2021,03/11/2021
Pagado,F001-1085465,7976373,342,03/11/2021,03/11/2021
Pagado,F001-1085885,8078213,94,03/11/2021,03/11/2021
Pagado,F001-1085903,8078558,24,03/11/2021,03/11/2021
Pagado,B005-0017577,8078559,35,03/11/2021,03/11/2021
Pagado,F001-1085906,8078846,35,03/11/2021,03/11/2021
Pagado,F001-1085907,8079018,94,03/11/2021,03/11/2021
Pagado,F001-1085687,8073943,53,03/11/2021,03/11/2021
Pagado,B005-0017585,8079029,94,03/11/2021,03/11/2021
Pagado,F001-1085909,31054,135,03/11/2021,03/11/2021
Pagado,F001-1085910,31054,684,03/11/2021,03/11/2021
Pagado,F001-1085288,6878922,36,03/11/2021,03/11/2021
Pagado,F001-1085403,7969251,63,03/11/2021,03/11/2021
Pagado,F001-1085293,6882957,54,03/11/2021,03/11/2021
Pagado,B005-0017502,8075733,35,03/11/2021,03/11/2021
Pagado,F001-1085598,8069921,59,03/11/2021,03/11/2021
Pagado,F001-1083679,7050034,189,03/11/2021,03/11/2021
Pagado,F001-1083478,1667366,106,03/11/2021,03/11/2021
Pagado,F001-1083370,674483,177,03/11/2021,03/11/2021
Pagado,F001-1083762,7970102,97,03/11/2021,03/11/2021
Pagado,F001-1083686,7116415,121,03/11/2021,03/11/2021
Pagado,F001-1083730,7508096,91,03/11/2021,03/11/2021
Pagado,F001-1083577,2402766,145,03/11/2021,03/11/2021
Pagado,F001-1083437,1243882,97,03/11/2021,03/11/2021
Pagado,F001-1083770,7971157,97,03/11/2021,03/11/2021
Pagado,F001-1083739,7553256,351,03/11/2021,03/11/2021
Pagado,F001-1083756,7969529,109,03/11/2021,03/11/2021
Pagado,F001-1083347,444097,133,03/11/2021,03/11/2021
Pagado,F001-1083457,1364714,230,03/11/2021,03/11/2021
Pagado,F001-1083790,7973904,351,03/11/2021,03/11/2021
Pagado,F001-1083747,7968376,194,03/11/2021,03/11/2021
Pagado,F001-1083454,1337982,272,03/11/2021,03/11/2021
Pagado,F001-1083767,7970781,59,03/11/2021,03/11/2021
Pagado,F001-1083589,2482398,181,03/11/2021,03/11/2021
Pagado,F001-1083674,7023840,103,03/11/2021,03/11/2021
Pagado,F001-1083438,1246738,97,03/11/2021,03/11/2021
Pagado,F001-1083520,1928405,121,03/11/2021,03/11/2021
Pagado,F001-1083566,2265659,290,03/11/2021,03/11/2021
Pagado,F001-1083786,7973213,242,03/11/2021,03/11/2021
Pagado,F001-1083719,7454058,121,03/11/2021,03/11/2021
Pagado,F001-1083800,7975127,121,03/11/2021,03/11/2021
Pagado,F001-1083467,1652270,97,03/11/2021,03/11/2021
Pagado,F001-1083593,2522989,133,03/11/2021,03/11/2021
Pagado,F001-1083706,7327268,109,03/11/2021,03/11/2021
Pagado,F001-1083137,53757,1355,03/11/2021,03/11/2021
Pagado,F001-1083705,7326435,290,03/11/2021,03/11/2021
Pagado,F001-1083486,1701393,145,03/11/2021,03/11/2021
Pagado,F001-1083703,7299873,242,03/11/2021,03/11/2021
Pagado,F001-1083822,8058835,121,03/11/2021,03/11/2021
Pagado,F001-1083820,7991164,42,03/11/2021,03/11/2021
Pagado,F001-1083192,63744,2588,03/11/2021,03/11/2021
Pagado,F001-1083329,270641,97,03/11/2021,03/11/2021
Pagado,F001-1083687,7120268,145,03/11/2021,03/11/2021
Pagado,F001-1083771,7971257,163,03/11/2021,03/11/2021
Pagado,F001-1083490,1789455,97,03/11/2021,03/11/2021
Pagado,F001-1083676,7039554,743,03/11/2021,03/11/2021
